Name,Phone,Ratings,Reviews,Address Line 1,Postal Code,Img Src
Melco General Contractor,"
",nil,nil,"
            56 Elite Ter", 458808,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Pang Giap Enterprise 88,"
        +65 6281 2485
    ",nil,nil,"
            4035 Ang Mo Kio Industrial Park 1", 569642,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Kitchen Cabinet Singapore,"
        +65 8362 3788
    ",nil,nil,"
            4 Kaki Bukit Avenue 1", 417939,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Hm Resources,"
        +65 6288 3226
    ",nil,nil,"
            37 Defu Ln 10", 539214,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Intertec Electrical,"
        +65 6284 5772
    ",nil,nil,"
            37 Defu Ln 10", 539214,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Computer Aire Engineering,"
        +65 6288 2488
    ",nil,nil,"
            31 Defu Ln 10", 539212,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Top-Ocean Construction,"
        +65 6441 1641
    ",nil,nil,"
            55 Chai Chee Dr", 460055,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Antron,"
        +65 6841 1377
    ",nil,nil,"
            61 Kaki Bukit Ave 1", 417943,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Reubens,"
        +65 6284 7812
    ",nil,nil,"
            512 Chai Chee Ln", 469028,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
Polybilt Engineering,"
        +65 6287 3387
    ",nil,nil,"
            148a Yio Chu Kang Rd", 545597,//s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/5f69f303f17c/assets/img/default_avatars/business_medium_square.png
